game,winner,winner_ru,beats,winner_life,loser_life,life_mikhail,life_oriana,timeout,elapsed_sec
1,oriana,Ориана,11,2,0,0,2,False,145.6
2,oriana,Ориана,15,3,0,0,3,False,202.1
3,oriana,Ориана,12,8,0,0,8,False,203.7
4,mikhail,Михаил,12,8,0,8,0,False,116.0
5,mikhail,Михаил,15,12,4,12,4,True,117.4
6,mikhail,Михаил,15,5,1,5,1,True,153.6
7,oriana,Ориана,12,2,0,0,2,False,156.5
8,oriana,Ориана,10,1,0,0,1,False,78.9
9,mikhail,Михаил,15,4,0,4,0,False,129.0
10,oriana,Ориана,11,5,0,0,5,False,120.8
11,mikhail,Михаил,9,3,0,3,0,False,57.7
12,oriana,Ориана,10,2,0,0,2,False,108.0
13,mikhail,Михаил,14,5,0,5,0,False,89.4
14,oriana,Ориана,9,7,0,0,7,False,139.8
15,mikhail,Михаил,10,8,0,8,0,False,154.8
16,oriana,Ориана,9,6,0,0,6,False,158.2
17,,ничья,15,,,7,7,True,136.9
18,oriana,Ориана,12,13,0,0,13,False,205.4
19,mikhail,Михаил,15,2,1,2,1,True,80.6
20,oriana,Ориана,15,11,8,8,11,True,53.9
